frame type (0: base 1: event), frame identifier, segment number, frame size, event occurred, map to cam samp. time
0,29,3,12304,-100,-100
0,29,4,12304,-100,-100
0,29,5,12304,-100,-100
0,29,6,12304,-100,-100
0,29,7,12304,-100,-100
0,29,8,12304,-100,-100
0,29,9,12304,-100,-100
0,29,10,12304,-100,-100
0,29,11,12304,-100,-100
0,29,12,12304,-100,-100
0,29,13,12304,-100,-100
0,29,14,12304,-100,-100
0,29,15,5336,-100,-100
0,30,-1,147384,1.97292,1.97292
0,30,0,12304,-100,-100
0,30,1,12304,-100,-100
0,30,2,12304,-100,-100
0,30,3,12304,-100,-100
0,30,4,12304,-100,-100
0,30,5,12304,-100,-100
0,30,6,12304,-100,-100
0,30,7,12304,-100,-100
0,30,8,12304,-100,-100
0,30,9,12304,-100,-100
0,30,10,12304,-100,-100
0,30,11,12304,-100,-100
0,30,12,3688,-100,-100
0,31,-1,123600,2.05,2.05
0,31,0,12304,-100,-100
0,31,1,12304,-100,-100
0,31,2,12304,-100,-100
0,31,3,12304,-100,-100
0,31,4,12304,-100,-100
0,31,5,12304,-100,-100
0,31,6,12304,-100,-100
0,31,7,12304,-100,-100
0,31,8,12304,-100,-100
0,31,9,12304,-100,-100
0,31,10,3904,-100,-100
1,33,-1,125104,2.191480973,2.19167
1,33,0,12304,-100,-100
1,33,1,12304,-100,-100
1,33,2,12304,-100,-100
1,33,3,12304,-100,-100
1,33,4,12304,-100,-100
1,33,5,12304,-100,-100
1,33,6,12304,-100,-100
1,33,7,12304,-100,-100
1,33,8,12304,-100,-100
1,33,9,12304,-100,-100
1,33,10,5408,-100,-100
0,34,-1,153656,2.26875,2.26875
0,34,0,12304,-100,-100
0,34,1,12304,-100,-100
0,34,2,12304,-100,-100
0,34,3,12304,-100,-100
0,34,4,12304,-100,-100
0,34,5,12304,-100,-100
0,34,6,12304,-100,-100
0,34,7,12304,-100,-100
0,34,8,12304,-100,-100
0,34,9,12304,-100,-100
0,34,10,12304,-100,-100
0,34,11,12304,-100,-100
0,34,12,9960,-100,-100
0,35,-1,132248,2.34583,2.34583
0,35,0,12304,-100,-100
0,35,1,12304,-100,-100
0,35,2,12304,-100,-100
0,35,3,12304,-100,-100
0,35,4,12304,-100,-100
0,35,5,12304,-100,-100
0,35,6,12304,-100,-100
0,35,7,12304,-100,-100
0,35,8,12304,-100,-100
0,35,9,12304,-100,-100
0,35,10,12304,-100,-100
0,35,11,552,-100,-100
0,36,-1,152712,2.42292,2.42292
0,36,0,12304,-100,-100
0,36,1,12304,-100,-100
0,36,2,12304,-100,-100
0,36,3,12304,-100,-100
0,36,4,12304,-100,-100
0,36,5,12304,-100,-100
0,36,6,12304,-100,-100
0,36,7,12304,-100,-100
0,36,8,12304,-100,-100
0,36,9,12304,-100,-100
0,36,10,12304,-100,-100
0,36,11,12304,-100,-100
0,36,12,9016,-100,-100
0,37,-1,159320,2.5,2.5
0,37,0,12304,-100,-100
0,37,1,12304,-100,-100
0,37,2,12304,-100,-100
0,37,3,12304,-100,-100
0,37,4,12304,-100,-100
0,37,5,12304,-100,-100
0,37,6,12304,-100,-100
0,37,7,12304,-100,-100
0,37,8,12304,-100,-100
0,37,9,12304,-100,-100
0,37,10,12304,-100,-100
0,37,11,12304,-100,-100
0,37,12,12304,-100,-100
0,37,13,3624,-100,-100
0,38,-1,152624,2.57708,2.57708
0,38,0,12304,-100,-100
0,38,1,12304,-100,-100
0,38,2,12304,-100,-100
0,38,3,12304,-100,-100
0,38,4,12304,-100,-100
0,38,5,12304,-100,-100
0,38,6,12304,-100,-100
0,38,7,12304,-100,-100
0,38,8,12304,-100,-100
0,38,9,12304,-100,-100
0,38,10,12304,-100,-100
0,38,11,12304,-100,-100
0,38,12,8928,-100,-100
1,41,-1,149344,2.706895718,2.70833
1,41,0,12304,-100,-100
1,41,1,12304,-100,-100
1,41,2,12304,-100,-100
1,41,3,12304,-100,-100
1,41,4,12304,-100,-100
1,41,5,12304,-100,-100
1,41,6,12304,-100,-100
1,41,7,12304,-100,-100
1,41,8,12304,-100,-100
1,41,9,12304,-100,-100
1,41,10,12304,-100,-100
1,41,11,12304,-100,-100
1,41,12,5648,-100,-100
1,40,-1,152312,2.685158822,2.68542
1,40,0,12304,-100,-100
1,40,1,12304,-100,-100
1,40,2,12304,-100,-100
1,40,3,12304,-100,-100
1,40,4,12304,-100,-100
1,40,5,12304,-100,-100
1,40,6,12304,-100,-100
1,40,7,12304,-100,-100
1,40,8,12304,-100,-100
1,40,9,12304,-100,-100
1,40,10,12304,-100,-100
1,40,11,12304,-100,-100
1,40,12,8616,-100,-100
1,43,-1,139216,2.850568725,2.85208
1,43,0,12304,-100,-100
1,43,1,12304,-100,-100
1,43,2,12304,-100,-100
1,43,3,12304,-100,-100
1,43,4,12304,-100,-100
1,43,5,12304,-100,-100
1,43,6,12304,-100,-100
1,43,7,12304,-100,-100
1,43,8,12304,-100,-100
1,43,9,12304,-100,-100
1,43,10,12304,-100,-100
1,43,11,7520,-100,-100
0,44,-1,152656,2.92917,2.92917
0,44,0,12304,-100,-100
0,44,1,12304,-100,-100
0,44,2,12304,-100,-100
0,44,3,12304,-100,-100
0,44,4,12304,-100,-100
0,44,5,12304,-100,-100
0,44,6,12304,-100,-100
0,44,7,12304,-100,-100
0,44,8,12304,-100,-100
0,44,9,12304,-100,-100
0,44,10,12304,-100,-100
0,44,11,12304,-100,-100
0,44,12,8960,-100,-100
0,45,-1,132352,3.00625,3.00625
0,45,0,12304,-100,-100
0,45,1,12304,-100,-100
0,45,2,12304,-100,-100
0,45,3,12304,-100,-100
0,45,4,12304,-100,-100
0,45,5,12304,-100,-100
0,45,6,12304,-100,-100
0,45,7,12304,-100,-100
0,45,8,12304,-100,-100
0,45,9,12304,-100,-100
0,45,10,12304,-100,-100
0,45,11,656,-100,-100
0,46,-1,152656,3.08333,3.08333
0,46,0,12304,-100,-100
0,46,1,12304,-100,-100
0,46,2,12304,-100,-100
0,46,3,12304,-100,-100
0,46,4,12304,-100,-100
0,46,5,12304,-100,-100
0,46,6,12304,-100,-100
0,46,7,12304,-100,-100
0,46,8,12304,-100,-100
0,46,9,12304,-100,-100
0,46,10,12304,-100,-100
0,46,11,12304,-100,-100
0,46,12,8960,-100,-100
1,48,-1,154184,3.185746853,3.1875
1,48,0,12304,-100,-100
1,48,1,12304,-100,-100
1,48,2,12304,-100,-100
1,48,3,12304,-100,-100
1,48,4,12304,-100,-100
1,48,5,12304,-100,-100
1,48,6,12304,-100,-100
1,48,7,12304,-100,-100
1,48,8,12304,-100,-100
1,48,9,12304,-100,-100
1,48,10,12304,-100,-100
1,48,11,12304,-100,-100
1,48,12,10488,-100,-100
0,49,-1,121216,3.26458,3.26458
0,49,0,12304,-100,-100
0,49,1,12304,-100,-100
0,49,2,12304,-100,-100
0,49,3,12304,-100,-100
0,49,4,12304,-100,-100
0,49,5,12304,-100,-100
0,49,6,12304,-100,-100
0,49,7,12304,-100,-100
0,49,8,12304,-100,-100
0,49,9,12304,-100,-100
0,49,10,1520,-100,-100
1,50,-1,184416,3.340695172,3.34167
1,50,0,12304,-100,-100
1,50,1,12304,-100,-100
1,50,2,12304,-100,-100
1,50,3,12304,-100,-100
1,50,4,12304,-100,-100
1,50,5,12304,-100,-100
1,50,6,12304,-100,-100
1,50,7,12304,-100,-100
1,50,8,12304,-100,-100
1,50,9,12304,-100,-100
1,50,10,12304,-100,-100
1,50,11,12304,-100,-100
1,50,12,12304,-100,-100
1,50,13,12304,-100,-100
1,50,14,12304,-100,-100
1,50,15,4720,-100,-100
0,51,-1,160408,3.41875,3.41875
0,51,0,12304,-100,-100
0,51,1,12304,-100,-100
0,51,2,12304,-100,-100
0,51,3,12304,-100,-100
0,51,4,12304,-100,-100
0,51,5,12304,-100,-100
0,51,6,12304,-100,-100
0,51,7,12304,-100,-100
0,51,8,12304,-100,-100
0,51,9,12304,-100,-100
0,51,10,12304,-100,-100
0,51,11,12304,-100,-100
0,51,12,12304,-100,-100
0,51,13,4712,-100,-100
0,52,-1,148096,3.49583,3.49583
0,52,0,12304,-100,-100
0,52,1,12304,-100,-100
0,52,2,12304,-100,-100
0,52,3,12304,-100,-100
0,52,4,12304,-100,-100
0,52,5,12304,-100,-100
0,52,6,12304,-100,-100
0,52,7,12304,-100,-100
0,52,8,12304,-100,-100
0,52,9,12304,-100,-100
0,52,10,12304,-100,-100
0,52,11,12304,-100,-100
0,52,12,4400,-100,-100
1,55,-1,151400,3.656771057,3.65833
1,55,0,12304,-100,-100
1,55,1,12304,-100,-100
1,55,2,12304,-100,-100
1,55,3,12304,-100,-100
1,55,4,12304,-100,-100
1,55,5,12304,-100,-100
1,55,6,12304,-100,-100
1,55,7,12304,-100,-100
1,55,8,12304,-100,-100
1,55,9,12304,-100,-100
1,55,10,12304,-100,-100
1,55,11,12304,-100,-100
1,55,12,7704,-100,-100
1,54,-1,133008,3.5968815,3.59792
1,54,0,12304,-100,-100
